Curah Hujan (mm),Ketinggian Sungai (cm),Debit Air (m³/s),Luas Resapan (%),Drainase (skor 1-10),Kondisi Cuaca,Label
66,60,255,29,2,Hujan Ringan,Banjir
33,45,180,53,9,Hujan Ringan,Tidak
197,177,721,66,5,Hujan Berat,Banjir
49,79,277,71,3,Hujan Ringan,Tidak
32,51,163,63,2,Hujan Ringan,Tidak
170,137,524,17,9,Hujan Berat,Banjir
72,82,222,28,6,Hujan Sedang,Tidak
32,49,168,56,2,Hujan Ringan,Tidak
54,62,216,52,9,Hujan Ringan,Tidak
107,105,436,42,6,Hujan Sedang,Banjir
149,166,669,54,4,Hujan Berat,Banjir
142,160,645,73,4,Hujan Berat,Banjir
42,64,206,52,5,Hujan Ringan,Tidak
60,79,333,53,8,Hujan Ringan,Tidak
31,57,184,27,7,Hujan Ringan,Tidak
46,50,205,49,9,Hujan Ringan,Tidak
59,63,285,74,8,Hujan Ringan,Tidak
131,138,395,78,2,Hujan Berat,Banjir
76,78,228,64,7,Hujan Sedang,Tidak
138,123,438,21,6,Hujan Berat,Banjir
35,62,210,40,3,Hujan Ringan,Tidak
58,73,279,29,8,Hujan Ringan,Tidak
184,143,552,36,4,Hujan Berat,Banjir
46,74,260,20,4,Hujan Ringan,Tidak
32,47,177,78,2,Hujan Ringan,Tidak
71,85,289,74,7,Hujan Sedang,Tidak
58,82,276,17,6,Hujan Ringan,Tidak
53,68,212,39,7,Hujan Ringan,Tidak
46,74,279,62,2,Hujan Ringan,Tidak
51,60,241,78,6,Hujan Ringan,Tidak
50,68,258,52,9,Hujan Ringan,Tidak
84,97,394,65,9,Hujan Sedang,Tidak
41,70,258,34,2,Hujan Ringan,Tidak
91,100,369,44,2,Hujan Sedang,Banjir
135,118,503,60,3,Hujan Berat,Banjir
153,126,353,23,7,Hujan Berat,Banjir
90,105,426,64,5,Hujan Sedang,Banjir
171,160,583,18,7,Hujan Berat,Banjir
135,128,374,26,8,Hujan Berat,Banjir
84,110,481,59,9,Hujan Sedang,Banjir
162,167,472,32,4,Hujan Berat,Banjir
61,68,222,75,6,Hujan Ringan,Tidak
74,81,253,45,3,Hujan Sedang,Banjir
79,93,372,64,2,Hujan Sedang,Banjir
100,94,314,48,5,Hujan Sedang,Banjir
101,121,399,54,6,Hujan Sedang,Banjir
94,101,422,56,5,Hujan Sedang,Banjir
31,44,137,16,8,Hujan Ringan,Tidak
54,69,275,79,9,Hujan Ringan,Tidak
95,118,355,28,9,Hujan Sedang,Banjir
69,83,290,22,4,Hujan Sedang,Banjir
166,146,494,61,6,Hujan Berat,Banjir
108,123,413,20,5,Hujan Sedang,Banjir
79,74,244,34,3,Hujan Sedang,Banjir
64,71,211,26,3,Hujan Ringan,Tidak
53,63,226,71,8,Hujan Ringan,Tidak
106,111,398,59,5,Hujan Sedang,Banjir
101,109,441,22,6,Hujan Sedang,Banjir
64,90,353,57,3,Hujan Sedang,Banjir
47,63,260,60,5,Hujan Ringan,Tidak
78,101,326,76,5,Hujan Sedang,Tidak
35,44,158,45,2,Hujan Ringan,Tidak
63,78,331,27,2,Hujan Ringan,Banjir
40,54,159,79,5,Hujan Ringan,Tidak
74,79,269,58,7,Hujan Sedang,Tidak
64,74,271,17,6,Hujan Ringan,Tidak
157,165,495,58,5,Hujan Berat,Banjir
107,114,437,37,4,Hujan Sedang,Banjir
44,59,194,35,6,Hujan Ringan,Tidak
63,63,217,43,8,Hujan Ringan,Tidak
67,69,257,63,6,Hujan Sedang,Tidak
84,89,332,53,6,Hujan Sedang,Tidak
65,73,293,36,7,Hujan Ringan,Tidak
87,86,331,56,9,Hujan Sedang,Tidak
108,96,316,33,5,Hujan Sedang,Banjir
69,96,371,69,3,Hujan Sedang,Banjir
64,75,237,36,9,Hujan Ringan,Tidak
64,80,250,71,7,Hujan Ringan,Tidak
64,86,315,55,2,Hujan Ringan,Banjir
53,71,288,56,9,Hujan Ringan,Tidak
65,60,221,22,2,Hujan Ringan,Banjir
68,78,306,58,4,Hujan Ringan,Tidak
67,94,342,16,8,Hujan Sedang,Banjir
67,72,245,36,5,Hujan Ringan,Tidak
34,56,181,76,7,Hujan Ringan,Tidak
75,80,308,17,9,Hujan Sedang,Tidak
52,64,190,79,2,Hujan Ringan,Tidak
79,99,405,47,6,Hujan Sedang,Banjir
147,128,374,16,4,Hujan Berat,Banjir
30,59,207,69,7,Hujan Ringan,Tidak
152,141,456,63,3,Hujan Berat,Banjir
104,103,406,21,5,Hujan Sedang,Banjir
124,110,344,34,3,Hujan Berat,Banjir
84,84,349,79,7,Hujan Sedang,Tidak
161,148,575,22,6,Hujan Berat,Banjir
54,68,267,27,8,Hujan Ringan,Tidak
77,77,203,74,8,Hujan Sedang,Tidak
34,57,180,64,6,Hujan Ringan,Tidak
74,104,316,42,7,Hujan Sedang,Tidak
36,49,207,54,2,Hujan Ringan,Tidak
58,70,265,77,7,Hujan Ringan,Tidak
94,99,304,19,7,Hujan Sedang,Banjir
56,65,206,72,9,Hujan Ringan,Tidak
60,78,295,59,9,Hujan Sedang,Tidak
94,93,330,48,5,Hujan Sedang,Banjir
47,62,250,52,3,Hujan Ringan,Tidak
72,82,296,16,5,Hujan Sedang,Banjir
62,79,272,48,9,Hujan Ringan,Tidak
181,156,438,59,4,Hujan Berat,Banjir
30,48,155,57,2,Hujan Ringan,Tidak
53,69,301,72,8,Hujan Ringan,Tidak
40,73,291,65,4,Hujan Ringan,Tidak
64,78,273,22,9,Hujan Sedang,Tidak
38,64,206,55,2,Hujan Ringan,Tidak
109,98,337,16,7,Hujan Sedang,Banjir
91,96,282,31,9,Hujan Sedang,Tidak
68,81,289,36,5,Hujan Sedang,Tidak
50,78,328,46,7,Hujan Ringan,Tidak
121,142,520,22,7,Hujan Berat,Banjir
66,73,248,36,5,Hujan Sedang,Tidak
47,63,206,37,9,Hujan Ringan,Tidak
51,58,217,37,6,Hujan Ringan,Tidak
54,78,238,15,5,Hujan Ringan,Tidak
60,63,238,24,6,Hujan Sedang,Tidak
98,97,316,23,5,Hujan Sedang,Banjir
101,114,435,48,6,Hujan Sedang,Banjir
40,58,267,72,5,Hujan Ringan,Tidak
33,48,176,68,9,Hujan Ringan,Tidak
39,53,175,31,8,Hujan Ringan,Tidak
123,124,430,38,3,Hujan Berat,Banjir
78,91,323,36,9,Hujan Sedang,Tidak
59,75,290,69,2,Hujan Ringan,Tidak
77,90,325,71,5,Hujan Sedang,Tidak
62,68,256,29,7,Hujan Ringan,Tidak
184,186,540,64,4,Hujan Berat,Banjir
59,82,318,56,4,Hujan Ringan,Tidak
110,102,358,78,6,Hujan Sedang,Banjir
85,79,348,15,9,Hujan Sedang,Tidak
65,73,289,38,2,Hujan Sedang,Banjir
139,124,399,21,4,Hujan Berat,Banjir
43,64,235,58,2,Hujan Ringan,Tidak
115,107,442,64,2,Hujan Sedang,Banjir
65,93,354,34,9,Hujan Sedang,Tidak
66,78,310,71,6,Hujan Sedang,Tidak
191,146,516,26,2,Hujan Berat,Banjir
62,63,213,47,2,Hujan Ringan,Tidak
170,175,486,63,2,Hujan Berat,Banjir
105,97,318,16,7,Hujan Sedang,Banjir
175,145,500,54,7,Hujan Berat,Banjir
119,144,570,21,6,Hujan Berat,Banjir
33,61,201,28,4,Hujan Ringan,Tidak
149,169,463,17,9,Hujan Berat,Banjir
64,79,279,65,4,Hujan Ringan,Tidak
39,52,205,69,2,Hujan Ringan,Tidak
69,91,314,21,9,Hujan Ringan,Tidak
112,127,546,15,8,Hujan Berat,Banjir
66,89,255,33,9,Hujan Ringan,Tidak
40,65,288,44,6,Hujan Ringan,Tidak
57,73,285,39,5,Hujan Ringan,Tidak
114,129,495,74,5,Hujan Berat,Banjir
175,179,564,17,5,Hujan Berat,Banjir
55,57,206,55,4,Hujan Ringan,Tidak
117,126,450,25,7,Hujan Sedang,Banjir
144,122,368,54,9,Hujan Berat,Banjir
68,83,252,77,4,Hujan Ringan,Tidak
84,89,294,71,6,Hujan Sedang,Tidak
111,128,382,20,4,Hujan Sedang,Banjir
56,73,277,76,4,Hujan Ringan,Tidak
73,90,263,28,3,Hujan Sedang,Banjir
131,150,605,56,4,Hujan Berat,Banjir
193,205,763,61,5,Hujan Berat,Banjir
67,65,210,23,9,Hujan Ringan,Tidak
111,106,299,55,5,Hujan Sedang,Banjir
57,76,258,55,9,Hujan Ringan,Tidak
45,66,214,49,4,Hujan Ringan,Tidak
159,146,466,58,2,Hujan Berat,Banjir
68,82,354,79,9,Hujan Sedang,Tidak
106,97,334,33,3,Hujan Sedang,Banjir
51,77,281,65,5,Hujan Ringan,Tidak
87,85,305,48,4,Hujan Sedang,Banjir
60,65,203,31,6,Hujan Sedang,Tidak
85,112,336,71,6,Hujan Sedang,Tidak
94,83,292,70,2,Hujan Sedang,Banjir
97,119,365,53,6,Hujan Sedang,Banjir
101,97,346,63,2,Hujan Sedang,Banjir
130,117,441,27,9,Hujan Berat,Banjir
78,90,296,33,5,Hujan Sedang,Banjir
170,169,635,59,3,Hujan Berat,Banjir
178,139,390,63,8,Hujan Berat,Banjir
127,100,345,33,8,Hujan Berat,Banjir
79,99,283,55,8,Hujan Sedang,Tidak
88,91,370,24,7,Hujan Sedang,Banjir
113,97,398,41,6,Hujan Sedang,Banjir
147,151,584,49,4,Hujan Berat,Banjir
104,98,303,39,8,Hujan Sedang,Banjir
147,155,531,59,8,Hujan Berat,Banjir
97,112,426,42,5,Hujan Sedang,Banjir
172,138,510,47,9,Hujan Berat,Banjir
57,64,174,79,8,Hujan Ringan,Tidak
58,80,316,25,2,Hujan Ringan,Banjir
34,60,190,79,8,Hujan Ringan,Tidak
104,114,462,40,4,Hujan Sedang,Banjir
56,73,240,44,3,Hujan Ringan,Tidak
146,153,506,32,5,Hujan Berat,Banjir
88,94,282,36,5,Hujan Sedang,Banjir
158,152,585,65,4,Hujan Berat,Banjir
61,85,307,58,4,Hujan Ringan,Tidak
110,93,296,25,5,Hujan Sedang,Banjir
76,99,373,33,6,Hujan Sedang,Banjir
67,76,299,78,4,Hujan Sedang,Tidak
120,118,478,25,8,Hujan Berat,Banjir
46,64,265,31,4,Hujan Ringan,Tidak
107,106,447,47,7,Hujan Sedang,Banjir
74,95,342,65,8,Hujan Sedang,Tidak
63,75,228,59,2,Hujan Sedang,Tidak
92,117,359,73,6,Hujan Sedang,Banjir
105,104,409,57,4,Hujan Sedang,Banjir
101,114,458,49,9,Hujan Sedang,Banjir
89,91,289,44,8,Hujan Sedang,Tidak
65,75,217,22,6,Hujan Ringan,Tidak
182,174,666,37,2,Hujan Berat,Banjir
73,77,244,17,7,Hujan Sedang,Tidak
154,156,660,30,3,Hujan Berat,Banjir
63,87,290,27,9,Hujan Ringan,Tidak
63,70,241,67,8,Hujan Ringan,Tidak
59,90,307,45,2,Hujan Ringan,Banjir
91,95,383,46,3,Hujan Sedang,Banjir
57,72,252,73,8,Hujan Ringan,Tidak
71,86,371,63,8,Hujan Sedang,Tidak
58,60,263,64,9,Hujan Ringan,Tidak
34,59,248,23,4,Hujan Ringan,Tidak
177,182,740,63,7,Hujan Berat,Banjir
41,68,275,43,2,Hujan Ringan,Tidak
198,189,541,35,4,Hujan Berat,Banjir
92,92,395,35,5,Hujan Sedang,Banjir
71,99,348,42,9,Hujan Sedang,Tidak
106,100,381,27,3,Hujan Sedang,Banjir
95,116,401,68,9,Hujan Sedang,Tidak
95,108,293,22,8,Hujan Sedang,Banjir
32,53,173,68,7,Hujan Ringan,Tidak
80,76,285,67,5,Hujan Sedang,Tidak
39,47,192,28,3,Hujan Ringan,Tidak
32,59,260,43,4,Hujan Ringan,Tidak
169,141,455,30,8,Hujan Berat,Banjir
57,79,327,48,6,Hujan Ringan,Tidak
61,62,239,71,7,Hujan Ringan,Tidak
75,74,290,65,2,Hujan Sedang,Tidak
67,82,243,43,2,Hujan Sedang,Banjir
137,132,376,23,8,Hujan Berat,Banjir
91,102,439,36,2,Hujan Sedang,Banjir
55,65,283,24,4,Hujan Ringan,Tidak
70,89,347,42,4,Hujan Sedang,Banjir
67,80,242,19,5,Hujan Ringan,Banjir
70,62,280,29,9,Hujan Sedang,Tidak
80,96,310,76,3,Hujan Sedang,Tidak
105,98,307,22,5,Hujan Sedang,Banjir
142,121,466,42,5,Hujan Berat,Banjir
125,133,448,76,2,Hujan Berat,Banjir
66,86,284,40,7,Hujan Ringan,Tidak
58,71,276,48,8,Hujan Ringan,Tidak
37,53,162,57,8,Hujan Ringan,Tidak
79,91,248,50,6,Hujan Sedang,Tidak
57,68,223,69,9,Hujan Ringan,Tidak
131,117,468,23,7,Hujan Berat,Banjir
56,69,215,34,6,Hujan Ringan,Tidak
64,89,343,67,4,Hujan Ringan,Tidak
60,72,317,24,4,Hujan Sedang,Banjir
34,56,190,25,9,Hujan Ringan,Tidak
94,103,317,61,8,Hujan Sedang,Tidak
149,140,542,29,3,Hujan Berat,Banjir
58,74,269,60,5,Hujan Ringan,Tidak
86,87,342,38,4,Hujan Sedang,Banjir
170,168,670,71,2,Hujan Berat,Banjir
115,111,298,71,3,Hujan Sedang,Banjir
68,86,275,61,5,Hujan Ringan,Tidak
147,143,530,27,8,Hujan Berat,Banjir
89,97,384,71,7,Hujan Sedang,Tidak
65,85,336,56,3,Hujan Ringan,Banjir
63,80,273,24,7,Hujan Ringan,Tidak
33,63,255,79,8,Hujan Ringan,Tidak
95,105,413,53,4,Hujan Sedang,Banjir
132,120,343,27,7,Hujan Berat,Banjir
32,56,211,29,5,Hujan Ringan,Tidak
63,83,348,72,2,Hujan Sedang,Tidak
170,144,554,63,9,Hujan Berat,Banjir
30,55,230,78,7,Hujan Ringan,Tidak
71,77,321,58,8,Hujan Sedang,Tidak
51,64,189,70,8,Hujan Ringan,Tidak
75,105,289,26,7,Hujan Sedang,Banjir
34,60,248,71,5,Hujan Ringan,Tidak
113,96,309,61,8,Hujan Sedang,Tidak
122,127,460,33,9,Hujan Berat,Banjir
115,140,564,76,6,Hujan Sedang,Banjir
175,179,724,55,2,Hujan Berat,Banjir
41,47,165,49,9,Hujan Ringan,Tidak
83,96,361,43,8,Hujan Sedang,Tidak
150,125,442,44,6,Hujan Berat,Banjir
32,51,202,62,7,Hujan Ringan,Tidak
65,64,253,40,2,Hujan Ringan,Banjir
44,67,287,44,2,Hujan Ringan,Tidak
30,41,178,50,4,Hujan Ringan,Tidak
145,151,461,20,9,Hujan Berat,Banjir
69,78,235,39,5,Hujan Sedang,Tidak
113,110,375,31,4,Hujan Berat,Banjir
101,113,329,66,8,Hujan Sedang,Tidak
62,65,213,54,4,Hujan Ringan,Tidak
62,61,241,62,8,Hujan Sedang,Tidak
147,128,521,60,4,Hujan Berat,Banjir
60,73,240,20,4,Hujan Sedang,Tidak
108,112,448,70,4,Hujan Sedang,Banjir
117,103,368,51,8,Hujan Sedang,Banjir
63,77,283,18,7,Hujan Ringan,Tidak
102,99,288,69,4,Hujan Sedang,Banjir
109,103,320,19,2,Hujan Sedang,Banjir
50,63,263,49,5,Hujan Ringan,Tidak
33,57,218,75,8,Hujan Ringan,Tidak
53,77,339,19,5,Hujan Ringan,Banjir
108,107,334,75,2,Hujan Sedang,Banjir
64,73,308,44,2,Hujan Ringan,Banjir
38,48,190,60,5,Hujan Ringan,Tidak
52,64,288,20,5,Hujan Ringan,Tidak
81,97,343,56,4,Hujan Sedang,Banjir
39,68,210,42,4,Hujan Ringan,Tidak
48,60,256,61,2,Hujan Ringan,Tidak
78,89,326,43,3,Hujan Sedang,Banjir
42,57,166,62,2,Hujan Ringan,Tidak
88,100,294,40,2,Hujan Sedang,Banjir
117,108,298,57,2,Hujan Sedang,Banjir
62,77,297,39,7,Hujan Sedang,Tidak
115,129,377,43,4,Hujan Sedang,Banjir
150,151,419,71,9,Hujan Berat,Banjir
31,44,184,50,8,Hujan Ringan,Tidak
47,65,287,78,6,Hujan Ringan,Tidak
88,86,309,73,8,Hujan Sedang,Tidak
40,61,276,16,7,Hujan Ringan,Tidak
118,91,356,62,2,Hujan Berat,Banjir
68,76,297,72,5,Hujan Sedang,Tidak
66,74,283,23,8,Hujan Ringan,Tidak
138,124,463,35,9,Hujan Berat,Banjir
101,107,338,25,7,Hujan Sedang,Banjir
69,74,262,24,5,Hujan Ringan,Tidak
75,67,215,37,3,Hujan Sedang,Tidak
171,172,606,75,2,Hujan Berat,Banjir
91,92,305,21,7,Hujan Sedang,Banjir
44,62,274,47,5,Hujan Ringan,Tidak
66,69,256,49,8,Hujan Ringan,Tidak
115,133,445,43,8,Hujan Sedang,Banjir
127,138,560,62,4,Hujan Berat,Banjir
152,162,442,49,8,Hujan Berat,Banjir
42,65,279,68,4,Hujan Ringan,Tidak
64,71,316,46,8,Hujan Ringan,Tidak
167,163,527,39,5,Hujan Berat,Banjir
128,122,364,34,9,Hujan Berat,Banjir
83,80,255,77,4,Hujan Sedang,Tidak
80,94,385,52,2,Hujan Sedang,Banjir
91,104,343,35,5,Hujan Sedang,Banjir
100,107,309,79,9,Hujan Sedang,Tidak
174,144,395,60,7,Hujan Berat,Banjir
62,78,297,34,7,Hujan Ringan,Tidak
137,134,411,63,7,Hujan Berat,Banjir
113,114,332,34,9,Hujan Sedang,Banjir
55,73,303,60,7,Hujan Ringan,Tidak
75,98,381,67,8,Hujan Sedang,Tidak
38,73,232,71,9,Hujan Ringan,Tidak
129,121,489,43,4,Hujan Berat,Banjir
93,88,271,64,7,Hujan Sedang,Tidak
141,115,424,54,9,Hujan Berat,Banjir
115,104,327,70,5,Hujan Sedang,Banjir
137,128,378,40,7,Hujan Berat,Banjir
191,155,600,60,9,Hujan Berat,Banjir
67,88,293,31,2,Hujan Ringan,Banjir
90,93,314,23,7,Hujan Sedang,Banjir
107,112,434,29,8,Hujan Sedang,Banjir
98,103,437,77,5,Hujan Sedang,Banjir
78,84,335,69,8,Hujan Sedang,Tidak
84,90,277,20,4,Hujan Sedang,Banjir
119,111,456,39,6,Hujan Sedang,Banjir
97,84,280,36,9,Hujan Sedang,Tidak
181,163,543,24,4,Hujan Berat,Banjir
185,165,489,55,8,Hujan Berat,Banjir
49,56,169,68,5,Hujan Ringan,Tidak
74,75,323,60,9,Hujan Sedang,Tidak
55,77,283,75,9,Hujan Ringan,Tidak
113,118,441,27,4,Hujan Sedang,Banjir
50,66,239,66,3,Hujan Ringan,Tidak
112,107,330,68,8,Hujan Sedang,Tidak
64,87,272,26,2,Hujan Ringan,Banjir
116,117,475,79,4,Hujan Sedang,Banjir
171,131,378,46,3,Hujan Berat,Banjir
80,93,330,51,6,Hujan Sedang,Tidak
163,138,413,63,6,Hujan Berat,Banjir
172,131,405,20,4,Hujan Berat,Banjir
57,72,288,63,4,Hujan Ringan,Tidak
42,61,245,72,5,Hujan Ringan,Tidak
69,67,225,77,5,Hujan Ringan,Tidak
45,58,168,30,9,Hujan Ringan,Tidak
83,90,328,38,7,Hujan Sedang,Tidak
38,58,207,38,6,Hujan Ringan,Tidak
56,68,252,61,3,Hujan Ringan,Tidak
159,161,488,44,4,Hujan Berat,Banjir
54,85,269,52,6,Hujan Ringan,Tidak
117,109,373,19,7,Hujan Sedang,Banjir
156,131,392,37,9,Hujan Berat,Banjir
119,119,332,75,9,Hujan Berat,Tidak
66,73,260,73,9,Hujan Ringan,Tidak
99,90,317,53,3,Hujan Sedang,Banjir
67,74,218,70,8,Hujan Sedang,Tidak
60,67,251,54,6,Hujan Ringan,Tidak
60,67,233,36,7,Hujan Sedang,Tidak
189,167,465,27,2,Hujan Berat,Banjir
187,185,540,75,8,Hujan Berat,Banjir
136,135,354,72,2,Hujan Berat,Banjir
93,80,252,73,9,Hujan Sedang,Tidak
63,81,321,58,8,Hujan Sedang,Tidak
102,84,247,34,5,Hujan Sedang,Banjir
117,126,401,64,2,Hujan Sedang,Banjir
95,101,318,54,4,Hujan Sedang,Banjir
45,59,207,45,4,Hujan Ringan,Tidak
53,75,233,22,8,Hujan Ringan,Tidak
166,142,436,53,5,Hujan Berat,Banjir
104,107,431,37,7,Hujan Sedang,Banjir
47,59,203,20,9,Hujan Ringan,Tidak
172,147,565,18,8,Hujan Berat,Banjir
48,58,193,36,9,Hujan Ringan,Tidak
72,86,364,28,2,Hujan Sedang,Banjir
118,133,470,61,5,Hujan Sedang,Banjir
